Arrays for Test: hash1000
126         0            0            -1
127         127            1            -1
128         0            0            -1
129         0            0            -1
130         4130            1            25
131         0            0            -1
132         2132            1            -1
133         3133            1            -1
134         134            1            -1
135         3135            1            -1
136         136            1            -1
137         0            0            -1
138         138            1            -1
139         8139            1            -1
140         0            0            -1
141         0            0            -1
142         1142            1            -1
143         5143            1            -1
144         4144            1            -1
145         5145            1            153
146         3146            1            -1
147         6147            1            -1
148         5148            1            -1
149         0            0            -1
150         150            1            299
151         2151            2            -1
152         9152            1            -1
153         2153            1            270
154         0            0            -1
155         155            1            -1
156         7156            1            256
157         0            0            -1
158         0            0            -1
159         4159            1            46
160         3160            1            -1
161         1161            1            -1
162         0            0            -1
163         0            0            -1
164         0            0            -1
165         4165            1            15
166         166            1            -1
167         0            0            -1
168         8168            1            -1
169         8169            1            -1
170         1170            1            -1
171         0            0            -1
172         172            1            -1
173         0            0            -1
174         0            0            -1
175         0            0            -1
176         0            0            -1
177         1177            1            214
178         0            0            -1
179         0            0            -1
180         7180            1            202
181         9181            1            104
182         0            0            -1
183         0            0            -1
184         7184            1            -1
185         0            0            -1
186         9186            1            231
187         0            0            -1
188         0            0            -1
189         5189            1            4
190         6190            1            -1
191         3191            1            69
192         3192            1            -1
193         193            2            -1
194         2194            1            324
195         0            0            -1
196         4196            1            -1
197         0            0            -1
198         2198            1            287
199         0            0            -1
200         9200            1            -1
201         2201            1            -1
202         6202            1            113
203         203            1            -1
204         204            1            -1
205         0            0            -1
206         206            1            16
207         9207            1            -1
208         0            0            -1
209         4209            1            258
210         2210            1            -1
211         5211            1            207
212         0            0            -1
213         1213            1            -1
214         2214            1            183
215         215            1            -1
216         4216            1            -1
217         2217            1            -1
218         1218            1            315
219         0            0            -1
220         8220            1            73
221         3221            1            -1
222         1222            1            177
223         0            0            -1
224         0            0            -1
225         0            0            -1
226         8226            1            -1
227         2227            1            323
228         1228            1            -1
229         5229            1            41
230         1230            1            163
231         7231            1            -1
232         7232            1            150
233         8233            1            118
234         9234            1            -1
235         235            1            42
236         5236            1            -1
237         0            0            -1
238         0            0            -1
239         3239            1            -1
240         3240            1            36
241         5241            1            -1
242         9242            1            325
243         5243            1            -1
244         3244            1            -1
245         2245            1            -1
246         5246            1            18
247         0            0            -1
248         4248            1            -1
249         2249            1            -1
250         0            0            -1
251         251            2            98
252         0            0            -1
253         0            0            -1
254         0            0            -1
255         6255            1            156
256         5256            1            -1
257         3257            1            252
258         0            0            -1
259         1259            1            -1
260         6260            1            -1
261         7261            1            23
262         6262            1            -1
263         0            0            -1
264         264            1            281
265         0            0            -1
266         7266            1            71
267         1267            1            -1
268         0            0            -1
269         3269            2            88
270         9270            1            155
271         3271            1            -1
272         0            0            -1
273         6273            1            -1
274         6274            1            -1
275         275            2            216
276         9276            1            166
277         0            0            -1
278         9278            1            -1
279         0            0            -1
280         1280            1            -1
281         0            0            -1
282         2282            1            -1
283         0            0            -1
284         284            1            -1
285         3285            1            -1
286         0            0            -1
287         7287            1            14
288         6288            1            -1
289         4289            1            -1
290         5290            1            -1
291         7291            1            -1
292         0            0            -1
293         293            1            5
294         7294            1            -1
295         0            0            -1
296         1296            1            -1
297         9297            1            -1
298         2298            1            93
299         299            1            194
300         0            0            -1
301         9301            1            320
302         9302            1            152
303         3303            1            -1
304         0            0            -1
305         5305            1            213
306         0            0            -1
307         5307            1            -1
308         7308            1            -1
309         1309            1            132
310         5310            1            -1
311         4311            1            222
312         2312            2            -1
313         313            1            -1
314         3314            1            188
315         0            0            -1
316         5316            1            -1
317         0            0            -1
318         8318            1            78
319         1319            1            -1
320         0            0            -1
321         0            0            -1
322         1322            1            -1
323         323            1            59
324         3324            1            79
325         325            1            -1
326         0            0            -1
327         5327            1            -1
328         1328            1            -1
329         0            0            -1
330         8330            1            164
331         8331            1            6
332         1332            2            -1
333         8333            1            -1
334         7334            1            -1
335         0            0            -1
336         0            0            -1
337         5337            1            -1
338         0            0            -1
339         2339            1            -1
340         0            0            -1
341         2341            1            95
342         3342            1            19
343         1343            1            -1
344         0            0            -1
345         0            0            -1
346         346            1            -1
347         5347            1            180
348         0            0            -1
349         1349            2            -1
350         0            0            -1
351         3351            1            -1
352         0            0            -1
353         0            0            -1
354         8354            1            8
355         0            0            -1
356         3356            1            -1
357         3357            1            -1
358         2358            1            -1
359         5359            1            -1
360         360            1            109
361         2361            1            -1
362         362            1            -1
363         3363            1            -1
364         5364            1            -1
365         0            0            -1
366         7366            1            -1
367         3367            1            57
368         4368            1            -1
369         3369            1            125
370         3370            1            -1
371         0            0            -1
372         0            0            -1
373         9373            1            -1
374         0            0            -1
375         0            0            -1
376         5376            1            -1
377         4377            1            -1
378         0            0            -1
379         8379            2            34
380         1380            1            137
381         3381            1            -1
382         9382            1            -1
383         4383            1            -1
384         0            0            -1
385         0            0            -1
386         0            0            -1
387         387            1            82
388         3388            1            285
389         3389            1            -1
390         390            1            -1
391         8391            1            -1
392         0            0            -1
393         4393            1            -1
394         0            0            -1
395         1395            1            -1
396         5396            1            -1
397         4397            1            83
398         0            0            -1
399         0            0            -1
400         3400            1            -1
401         2401            1            -1
402         6402            1            -1
403         4403            1            -1
404         3404            1            -1
405         6405            1            -1
406         1406            1            158
407         0            0            -1
408         0            0            -1
409         6409            1            -1
410         410            1            -1
411         8411            1            -1
412         0            0            -1
413         0            0            -1
414         0            0            -1
415         7415            1            -1
416         5416            1            -1
417         0            0            -1
418         6418            1            -1
419         7419            1            -1
420         0            0            -1
421         9421            1            -1
422         0            0            -1
423         7423            1            -1
424         1424            1            303
425         1425            1            254
426         6426            1            286
427         0            0            -1
428         5428            1            -1
429         8429            1            244
430         0            0            -1
431         0            0            -1
432         5432            1            -1
433         0            0            -1
434         1434            1            -1
435         0            0            -1
436         8436            1            296
437         0            0            -1
438         1438            1            -1
439         8439            1            126
440         0            0            -1
441         1441            1            37
442         0            0            -1
443         0            0            -1
444         7444            1            -1
445         1445            1            280
446         2446            2            195
447         0            0            -1
448         5448            1            -1
449         3449            1            -1
450         0            0            -1
451         0            0            -1
452         9452            1            -1
453         0            0            -1
454         0            0            -1
455         0            0            -1
456         1456            1            -1
457         0            0            -1
458         0            0            -1
459         7459            1            322
460         0            0            -1
461         0            0            -1
462         7462            1            89
463         463            1            151
464         0            0            -1
465         8465            1            -1
466         0            0            -1
467         0            0            -1
468         4468            1            228
469         2469            1            11
470         0            0            -1
471         0            0            -1
472         0            0            -1
473         0            0            -1
474         0            0            -1
475         1475            1            314
476         6476            1            -1
477         477            1            273
478         0            0            -1
479         479            1            -1
480         480            1            -1
481         0            0            -1
482         5482            2            -1
483         9483            1            49
484         1484            1            -1
485         0            0            -1
486         2486            1            -1
487         0            0            -1
488         0            0            -1
489         0            0            -1
490         0            0            -1
491         4491            1            232
492         6492            1            -1
493         0            0            -1
494         5494            1            -1
495         0            0            -1
496         0            0            -1
497         0            0            -1
498         3498            1            128
499         7499            1            317
500         3500            1            86
501         501            1            -1
502         9502            1            -1
503         0            0            -1
504         0            0            -1
505         2505            1            -1
506         3506            1            -1
507         0            0            -1
508         2508            1            17
509         6509            1            -1
510         5510            1            190
511         0            0            -1
512         2512            2            13
513         7513            1            -1
514         0            0            -1
515         0            0            -1
516         8516            1            192
517         4517            1            -1
518         0            0            -1
519         0            0            -1
520         0            0            -1
521         0            0            -1
522         3522            1            -1
523         4523            1            61
524         0            0            -1
525         0            0            -1
526         0            0            -1
527         0            0            -1
528         5528            1            261
529         7529            1            146
530         6530            1            266
531         531            1            -1
532         8532            1            -1
533         0            0            -1
534         8534            1            145
535         5535            1            20
536         0            0            -1
537         0            0            -1
538         0            0            -1
539         0            0            -1
540         0            0            -1
541         4541            1            196
542         3542            1            290
543         0            0            -1
544         0            0            -1
545         3545            1            -1
546         2546            1            -1
547         7547            1            208
548         0            0            -1
549         0            0            -1
550         4550            1            -1
551         7551            1            48
552         0            0            -1
553         6553            1            251
554         0            0            -1
555         3555            1            206
556         1556            1            40
557         5557            1            300
558         0            0            -1
559         4559            1            218
560         0            0            -1
561         0            0            -1
562         0            0            -1
563         0            0            -1
564         5564            1            -1
565         3565            1            279
566         8566            1            -1
567         5567            1            1
568         568            1            -1
569         0            0            -1
570         0            0            -1
571         4571            1            62
572         4572            1            -1
573         573            1            -1
574         8574            1            -1
575         575            1            97
576         8576            1            50
577         5577            1            284
578         8578            2            -1
579         579            1            64
580         4580            1            -1
581         5581            1            -1
582         3582            1            94
583         4583            1            283
584         1584            1            293
585         585            1            -1
586         0            0            -1
587         0            0            -1
588         0            0            -1
589         1589            1            -1
590         2590            1            -1
591         2591            1            278
592         0            0            -1
593         8593            1            175
594         5594            1            -1
595         2595            1            10
596         596            1            -1
597         597            1            112
598         0            0            -1
599         0            0            -1
600         4600            1            -1
601         6601            1            147
602         5602            1            245
603         0            0            -1
604         2604            1            -1
605         1605            1            -1
606         0            0            -1
607         4607            1            -1
608         0            0            -1
609         0            0            -1
610         6610            1            -1
611         0            0            -1
612         4612            1            294
613         9613            1            133
614         0            0            -1
615         0            0            -1
616         1616            1            -1
617         617            1            275
618         6618            1            198
619         0            0            -1
620         9620            1            105
621         8621            1            43
622         0            0            -1
623         4623            1            114
624         4624            1            -1
625         0            0            -1
626         0            0            -1
627         6627            1            142
628         4628            1            44
629         6629            1            161
630         0            0            -1
631         0            0            -1
632         0            0            -1
633         0            0            -1
634         7634            1            -1
635         0            0            -1
636         0            0            -1
637         0            0            -1
638         9638            1            -1
639         0            0            -1
640         0            0            -1
641         3641            1            -1
642         3642            1            138
643         6643            1            -1
644         4644            1            28
645         0            0            -1
646         0            0            -1
647         0            0            -1
648         5648            1            -1
649         2649            1            -1
650         0            0            -1
651         5651            1            -1
652         6652            1            -1
653         0            0            -1
654         3654            1            -1
655         2655            1            233
656         0            0            -1
657         2657            1            58
658         8658            1            -1
659         9659            1            -1
660         2660            1            310
661         0            0            -1
662         662            1            131
663         7663            1            51
664         9664            2            -1
665         0            0            -1
666         0            0            -1
667         9667            1            -1
668         8668            1            -1
669         0            0            -1
670         6670            1            -1
671         671            1            -1
672         0            0            -1
673         673            1            -1
674         6674            1            52
675         0            0            -1
676         2676            1            154
677         6677            1            -1
678         0            0            -1
679         7679            1            -1
680         0            0            -1
681         4681            1            -1
682         9682            1            121
683         0            0            -1
684         6684            1            255
685         4685            1            77
686         0            0            -1
687         2687            1            269
688         688            1            -1
689         1689            1            -1
690         4690            1            -1
691         5691            1            -1
692         0            0            -1
693         3693            1            -1
694         3694            1            80
695         6695            1            292
696         0            0            -1
697         7697            1            7
698         0            0            -1
699         1699            1            162
700         1700            2            -1
701         5701            1            220
702         3702            1            67
703         0            0            -1
704         0            0            -1
705         0            0            -1
706         9706            1            -1
707         0            0            -1
708         7708            1            173
709         2709            1            148
710         710            1            -1
711         0            0            -1
712         7712            1            92
713         8713            1            -1
714         8714            1            211
715         9715            1            -1
716         5716            1            -1
717         8717            1            -1
718         7718            1            201
719         0            0            -1
720         7720            1            -1
721         4721            1            136
722         0            0            -1
723         2723            1            -1
724         6724            1            -1
725         8725            1            -1
726         7726            1            -1
727         7727            1            -1
728         3728            1            -1
729         2729            1            264
730         0            0            -1
731         0            0            -1
732         732            1            -1
733         733            1            -1
734         0            0            -1
735         0            0            -1
736         6736            1            -1
737         0            0            -1
738         0            0            -1
739         2739            1            -1
740         1740            1            -1
741         1741            1            -1
742         9742            1            -1
743         0            0            -1
744         0            0            -1
745         0            0            -1
746         0            0            -1
747         0            0            -1
748         7748            1            127
749         4749            1            84
750         6750            1            -1
751         8751            1            124
752         0            0            -1
753         0            0            -1
754         2754            1            -1
755         7755            1            -1
756         3756            1            -1
757         0            0            -1
758         4758            2            -1
759         8759            1            107
760         2760            1            226
761         761            1            -1
762         0            0            -1
763         0            0            -1
764         0            0            -1
765         765            1            230
766         0            0            -1
767         0            0            -1
768         8768            1            -1
769         3769            1            116
770         770            2            47
771         771            1            -1
772         772            1            141
773         0            0            -1
774         0            0            -1
775         9775            1            301
776         776            1            223
777         0            0            -1
778         9778            1            -1
779         779            1            291
780         5780            1            -1
781         0            0            -1
782         1782            1            -1
783         1783            1            -1
784         0            0            -1
785         9785            1            -1
786         0            0            -1
787         1787            1            30
788         7788            1            172
789         3789            1            167
790         2790            1            -1
791         4791            1            -1
792         0            0            -1
793         0            0            -1
794         794            1            -1
795         0            0            -1
796         0            0            -1
797         797            1            182
798         0            0            -1
799         3799            1            -1
800         0            0            -1
801         0            0            -1
802         0            0            -1
803         803            1            -1
804         0            0            -1
805         5805            1            265
806         0            0            -1
807         3807            1            -1
808         7808            1            123
809         2809            1            -1
810         1810            1            -1
811         8811            1            -1
812         812            1            297
813         0            0            -1
814         7814            1            -1
815         6815            1            -1
816         3816            1            259
817         9817            1            -1
818         6818            1            -1
819         0            0            -1
820         0            0            -1
821         0            0            -1
822         0            0            -1
823         4823            1            -1
824         0            0            -1
825         1825            1            -1
826         3826            1            -1
827         5827            1            -1
828         0            0            -1
829         0            0            -1
830         9830            1            -1
831         3831            1            215
832         6832            1            -1
833         1833            1            -1
834         0            0            -1
835         0            0            -1
836         1836            1            311
837         0            0            -1
838         7838            1            -1
839         4839            1            316
840         0            0            -1
841         0            0            -1
842         5842            1            -1
843         843            1            -1
844         1844            1            -1
845         7845            2            199
846         6846            1            -1
847         8847            1            -1
848         848            1            63
849         849            1            -1
850         1850            1            -1
851         0            0            -1
852         0            0            -1
853         0            0            -1
854         0            0            -1
855         4855            1            -1
856         2856            1            75
857         857            1            -1
858         2858            1            -1
859         6859            1            70
860         860            1            -1
861         7861            1            54
862         6862            1            111
863         8863            1            318
864         0            0            -1
865         2865            1            -1
866         866            1            -1
867         0            0            -1
868         0            0            -1
869         4869            1            -1
870         870            1            -1
871         7871            1            -1
872         0            0            -1
873         2873            1            -1
874         5874            1            -1
875         5875            1            -1
876         2876            1            -1
877         5877            1            -1
878         2878            1            -1
879         0            0            -1
880         0            0            -1
881         6881            1            -1
882         5882            1            45
883         1883            2            -1
884         3884            1            178
885         0            0            -1
886         0            0            -1
887         0            0            -1
888         7888            1            66
889         5889            1            -1
890         8890            1            143
891         6891            1            90
892         5892            1            184
893         7893            1            -1
894         4894            1            168
895         6895            1            87
896         0            0            -1
897         0            0            -1
898         0            0            -1
899         0            0            -1
900         7900            1            -1
901         2901            1            -1
902         0            0            -1
903         6903            1            -1
904         8904            1            -1
905         0            0            -1
906         906            1            -1
907         0            0            -1
908         3908            1            -1
909         5909            2            -1
910         910            1            74
911         0            0            -1
912         912            2            160
913         3913            1            246
914         9914            2            35
915         0            0            -1
916         0            0            -1
917         0            0            -1
918         4918            1            -1
919         2919            1            179
920         9920            1            -1
921         0            0            -1
922         9922            1            -1
923         1923            1            -1
924         5924            1            -1
925         4925            1            0
926         2926            1            -1
927         3927            1            -1
928         0            0            -1
929         0            0            -1
930         4930            1            -1
931         7931            1            -1
932         1932            1            -1
933         4933            1            31
934         2934            1            -1
935         9935            1            210
936         0            0            -1
937         0            0            -1
938         1938            1            -1
939         0            0            -1
940         0            0            -1
941         0            0            -1
942         1942            1            302
943         0            0            -1
944         0            0            -1
945         0            0            -1
946         7946            1            276
947         0            0            -1
948         0            0            -1
949         1949            1            81
950         950            2            -1
951         0            0            -1
952         0            0            -1
953         2953            1            -1
954         1954            1            -1
955         955            1            -1
956         0            0            -1
957         6957            1            -1
958         2958            1            -1
959         0            0            -1
960         960            1            -1
961         0            0            -1
962         0            0            -1
963         5963            1            26
964         4964            1            56
965         965            1            -1
966         0            0            -1
967         1967            1            2
968         5968            1            170
969         7969            1            -1
970         6970            1            85
971         0            0            -1
972         4972            1            -1
973         0            0            -1
974         6974            1            -1
975         0            0            -1
976         6976            1            -1
977         7977            1            27
978         8978            1            -1
979         0            0            -1
980         7980            1            -1
981         9981            1            -1
982         9982            1            174
983         0            0            -1
984         0            0            -1
985         0            0            -1
986         9986            1            243
987         5987            1            21
988         8988            1            -1
989         0            0            -1
990         2990            1            -1
991         0            0            -1
992         0            0            -1
993         0            0            -1
994         0            0            -1
995         3995            1            225
996         5996            1            -1
997         8997            1            250
998         0            0            -1
999         7999            1            -1
-------------------------------------------------------------------------------------------------------------------------------------------------Chained Overflow OVERFLOW Array:
Index    Key Value     Count
0         9925            1            277
1         2567            1            203
2         6967            1            -1
3         1043            1            -1
4         2189            3            -1
5         2293            1            -1
6         9331            1            96
7         1697            1            -1
8         3354            1            12
9         1117            1            -1
10         1595            2            -1
11         6469            2            -1
12         2354            1            -1
13         512            1            -1
14         5287            2            24
15         165            1            29
16         8206            2            238
17         9508            1            115
18         246            2            200
19         342            1            -1
20         7535            1            -1
21         7987            1            106
22         8008            1            268
23         261            1            171
24         2287            1            204
25         5130            1            209
26         1963            1            -1
27         977            1            -1
28         6644            1            -1
29         6165            1            -1
30         3787            1            68
31         9933            2            117
32         111            1            165
33         8032            1            -1
34         6379            1            39
35         4914            1            237
36         8240            1            217
37         5441            1            -1
38         44            1            144
39         7379            1            -1
40         5556            1            -1
41         7229            2            -1
42         1235            1            221
43         7621            1            -1
44         9628            2            -1
45         8882            1            -1
46         9159            1            -1
47         4770            1            -1
48         2551            1            189
49         3483            1            149
50         9576            1            76
51         663            1            129
52         1674            1            119
53         1115            1            -1
54         1861            1            -1
55         7106            1            262
56         7964            2            -1
57         6367            1            159
58         3657            1            -1
59         3323            1            -1
60         4006            1            -1
61         8523            1            -1
62         5571            1            -1
63         4848            1            313
64         1579            1            -1
65         7090            1            249
66         4888            1            -1
67         9702            1            197
68         6787            2            -1
69         1191            1            -1
70         1859            1            99
71         1266            1            -1
72         2099            1            91
73         220            1            -1
74         8910            1            -1
75         1856            1            -1
76         3576            1            -1
77         685            1            103
78         7318            1            -1
79         9324            1            282
80         694            1            241
81         6949            2            -1
82         6387            1            -1
83         5397            1            267
84         749            1            205
85         3970            1            -1
86         6500            1            -1
87         8895            1            135
88         6269            1            -1
89         5462            1            -1
90         4891            1            -1
91         6099            1            -1
92         712            1            -1
93         4298            1            134
94         6582            1            -1
95         341            1            -1
96         2331            1            -1
97         6575            1            120
98         7251            1            -1
99         9859            1            -1
100         38            1            -1
101         56            1            -1
102         4125            1            186
103         7685            2            -1
104         1181            1            312
105         4620            1            219
106         2987            1            -1
107         5759            1            -1
108         5019            1            -1
109         3360            1            -1
110         84            1            -1
111         2862            1            -1
112         4597            1            -1
113         202            1            -1
114         9623            1            -1
115         3508            1            -1
116         2769            1            -1
117         2933            1            -1
118         9233            1            -1
119         8674            1            -1
120         8575            1            -1
121         2682            1            -1
122         9079            1            -1
123         1808            1            -1
124         5751            1            -1
125         8369            1            -1
126         5439            1            -1
127         9748            1            -1
128         9498            1            -1
129         5663            1            -1
130         4082            1            -1
131         2662            1            -1
132         2309            1            274
133         613            1            -1
134         6298            1            -1
135         3895            1            -1
136         721            1            176
137         5380            1            -1
138         2642            1            -1
139         9028            1            -1
140         5089            1            260
141         3772            1            -1
142         4627            1            -1
143         5890            1            -1
144         4044            1            -1
145         4534            1            -1
146         5529            1            -1
147         601            1            -1
148         1709            1            -1
149         8483            1            169
150         8232            1            295
151         2463            1            -1
152         302            1            -1
153         9145            1            -1
154         5676            1            -1
155         2270            1            -1
156         7255            1            -1
157         7074            1            -1
158         9406            1            -1
159         2367            1            -1
160         5912            1            -1
161         1629            1            -1
162         9699            1            -1
163         2230            1            -1
164         6330            1            -1
165         2111            1            -1
166         2276            1            -1
167         6789            1            -1
168         1894            3            -1
169         483            1            -1
170         968            1            242
171         2261            1            -1
172         788            1            309
173         8708            1            193
174         5982            1            -1
175         593            1            -1
176         7721            1            227
177         4222            1            -1
178         8884            1            248
179         3919            1            -1
180         1347            1            -1
181         3037            1            -1
182         6797            1            -1
183         214            1            191
184         3892            1            -1
185         5088            1            -1
186         5125            1            -1
187         98            1            -1
188         1314            1            -1
189         9551            1            -1
190         1510            1            235
191         1214            1            -1
192         3516            1            212
193         4708            1            -1
194         1299            1            -1
195         5446            1            -1
196         6541            1            -1
197         702            1            -1
198         9618            1            307
199         3845            1            -1
200         3246            1            -1
201         6718            1            298
202         2180            1            -1
203         567            2            -1
204         287            1            -1
205         2749            1            -1
206         9555            1            -1
207         4211            1            -1
208         1547            1            -1
209         6130            1            -1
210         935            1            -1
211         1714            1            321
212         7516            1            -1
213         8305            1            234
214         8177            1            -1
215         5831            1            -1
216         2275            1            -1
217         1240            1            -1
218         3559            1            -1
219         6620            1            -1
220         701            1            -1
221         4235            1            -1
222         1311            1            -1
223         8776            1            -1
224         9073            1            -1
225         5995            1            -1
226         9760            1            -1
227         3721            1            -1
228         6468            1            -1
229         3009            1            -1
230         5765            1            -1
231         186            1            -1
232         1491            1            -1
233         7655            1            -1
234         3305            1            -1
235         4510            1            308
236         3104            1            -1
237         7914            1            -1
238         2206            1            -1
239         2077            1            -1
240         5014            1            -1
241         7694            1            -1
242         7968            1            263
243         5986            1            -1
244         7429            1            306
245         8602            1            305
246         5913            1            -1
247         6007            1            -1
248         2884            1            -1
249         9090            1            -1
250         4997            1            -1
251         4553            1            -1
252         257            1            271
253         1057            1            -1
254         4425            1            -1
255         2684            1            -1
256         156            1            -1
257         7097            1            -1
258         2209            1            -1
259         9816            1            -1
260         9089            1            -1
261         8528            1            -1
262         1106            1            -1
263         4968            1            -1
264         4729            1            -1
265         2805            1            -1
266         3530            1            -1
267         6397            1            289
268         1008            1            -1
269         1687            1            -1
270         8153            1            -1
271         5257            1            319
272         1047            1            -1
273         2477            1            304
274         309            1            -1
275         3617            1            -1
276         2946            1            -1
277         3925            1            -1
278         5591            1            -1
279         6565            1            -1
280         8445            1            -1
281         8264            1            -1
282         7324            1            -1
283         8583            1            288
284         1577            1            -1
285         6388            1            -1
286         7426            1            -1
287         1198            1            -1
288         3583            1            -1
289         1397            1            -1
290         542            1            -1
291         3779            1            -1
292         8695            1            -1
293         9584            1            -1
294         8612            1            -1
295         1232            1            -1
296         3436            1            -1
297         8812            1            -1
298         1718            1            -1
299         4150            1            -1
300         557            1            -1
301         8775            1            -1
302         8942            1            -1
303         9424            1            -1
304         9477            1            -1
305         3602            1            -1
306         4429            1            -1
307         8618            1            -1
308         510            1            -1
309         2788            1            -1
310         6660            1            -1
311         2836            1            -1
312         181            1            -1
313         7848            1            -1
314         475            1            -1
315         9218            1            -1
316         6839            1            -1
317         5499            1            -1
318         7863            1            -1
319         9257            1            -1
320         6301            1            -1
321         7714            1            -1
322         2459            1            -1
323         6227            1            -1
324         6194            1            -1
325         6242            1            -1
326         0            0            -1
327         0            0            -1
328         0            0            -1
329         0            0            -1
330         0            0            -1
331         0            0            -1
332         0            0            -1
333         0            0            -1
334         0            0            -1
335         0            0            -1
336         0            0            -1
337         0            0            -1
338         0            0            -1
339         0            0            -1
340         0            0            -1
341         0            0            -1
342         0            0            -1
343         0            0            -1
344         0            0            -1
345         0            0            -1
346         0            0            -1
347         0            0            -1
348         0            0            -1
349         0            0            -1
350         0            0            -1
351         0            0            -1
352         0            0            -1
353         0            0            -1
354         0            0            -1
355         0            0            -1
356         0            0            -1
357         0            0            -1
358         0            0            -1
359         0            0            -1
360         0            0            -1
361         0            0            -1
362         0            0            -1
363         0            0            -1
364         0            0            -1
365         0            0            -1
366         0            0            -1
367         0            0            -1
368         0            0            -1
369         0            0            -1
370         0            0            -1
371         0            0            -1
372         0            0            -1
373         0            0            -1
374         0            0            -1
375         0            0            -1
376         0            0            -1
377         0            0            -1
378         0            0            -1
379         0            0            -1
380         0            0            -1
381         0            0            -1
382         0            0            -1
383         0            0            -1
384         0            0            -1
385         0            0            -1
386         0            0            -1
387         0            0            -1
388         0            0            -1
389         0            0            -1
390         0            0            -1
391         0            0            -1
392         0            0            -1
393         0            0            -1
394         0            0            -1
395         0            0            -1
396         0            0            -1
397         0            0            -1
398         0            0            -1
399         0            0            -1
400         0            0            -1
401         0            0            -1
402         0            0            -1
403         0            0            -1
404         0            0            -1
405         0            0            -1
406         0            0            -1
407         0            0            -1
408         0            0            -1
409         0            0            -1
410         0            0            -1
411         0            0            -1
412         0            0            -1
413         0            0            -1
414         0            0            -1
415         0            0            -1
416         0            0            -1
417         0            0            -1
418         0            0            -1
419         0            0            -1
420         0            0            -1
421         0            0            -1
422         0            0            -1
423         0            0            -1
424         0            0            -1
425         0            0            -1
426         0            0            -1
427         0            0            -1
428         0            0            -1
429         0            0            -1
430         0            0            -1
431         0            0            -1
432         0            0            -1
433         0            0            -1
434         0            0            -1
435         0            0            -1
436         0            0            -1
437         0            0            -1
438         0            0            -1
439         0            0            -1
440         0            0            -1
441         0            0            -1
442         0            0            -1
443         0            0            -1
444         0            0            -1
445         0            0            -1
446         0            0            -1
447         0            0            -1
448         0            0            -1
449         0            0            -1
450         0            0            -1
451         0            0            -1
452         0            0            -1
453         0            0            -1
454         0            0            -1
455         0            0            -1
456         0            0            -1
457         0            0            -1
458         0            0            -1
459         0            0            -1
460         0            0            -1
461         0            0            -1
462         0            0            -1
463         0            0            -1
464         0            0            -1
465         0            0            -1
466         0            0            -1
467         0            0            -1
468         0            0            -1
469         0            0            -1
470         0            0            -1
471         0            0            -1
472         0            0            -1
473         0            0            -1
474         0            0            -1
475         0            0            -1
476         0            0            -1
477         0            0            -1
478         0            0            -1
479         0            0            -1
480         0            0            -1
481         0            0            -1
482         0            0            -1
483         0            0            -1
484         0            0            -1
485         0            0            -1
486         0            0            -1
